,1e-06,1e-05,0.0001,0.001,0.005
5,0.7480004394638542,0.8181458094808544,0.7294214625408464,0.5684430900733853,0.5370957340900326
16,0.7991584652688632,0.8590534693872306,0.9259425664432082,0.5707093486297594,0.515088012462652
32,0.9183169690871873,0.8487030033884977,0.8611049431973694,0.6961119013750593,0.5704623721252674
